Input Sample	B cells memory	B cells naive	Dendritic cells activated	Dendritic cells resting	Eosinophils	Macrophages M0	Macrophages M1	Macrophages M2	Mast cells activated	Mast cells resting	Monocytes	NK cells activated	NK cells resting	Neutrophils	Plasma cells	T cells CD4 memory activated	T cells CD4 memory resting	T cells CD4 naive	T cells CD8	T cells follicular helper	T cells gamma delta	T cells regulatory (Tregs)	P-value	Pearson Correlation	RMSE
11000674-TT-R	0	0.07615205496608529	0.09091667737697423	0.00907649064328574	0.38746157910064594	0	0	0.0013439623232819413	0	0.02132329073319141	0.23310393335396687	0	0.02602000360218018	0	0.015812580038761754	0.005056495084591929	0	0	0.12307254214736005	0	0	0.010660390629674684	0.52	0.14497862595511907	1.0169952654832108
11000679-TT-R	0	0.040177973687832276	0.11860521920571193	0.004635907075948646	0.41637677241835996	0	0	0.004129544764005931	0.02403814478879513	0.005370499829544648	0.17555997409376126	0.029428032612855003	0	0	0	0	0.04365156174659551	0	0.09778323318826733	0.020590170579562306	0	0.019652966008760132	0.24	0.32853003837900563	0.9407826566784537
11000681-TT-R	0	0.12770341770701082	0.15251068836423293	0	0.14087771094202559	0	0	0.08372386456889382	0	0.16512800862479746	0.06676029933900719	0.06333857150274402	0	0	0.002333445088819827	0	0	0	0.17709943698605962	0	0	0.020524556876408702	0.72	0.029518310369509578	1.0584243670438058
11000684-TT-R	0	0.08365834263261827	0.08228678775391797	0.00402541694812643	0.2687350868288022	0	0	0.04060665502559403	0	0.15237908118794705	0.2440153700216231	0	0	0	0.006966679512244303	0.005946123276895924	0	0	0.0979106052768088	0.00652702862346308	0	0.006942822911958846	0.5	0.15160070519537983	1.005443925887459
11000689-TT-R	0	0.08580429019691307	0.04810789064971016	0.01208301413529804	0.43755308454939207	0	0	0	0	0.08791395431367417	0.20926438286846044	0.007901384552085885	0.0003	0	0.003667912609741239	0	0	0	0.0790902530032491	0.02041677024077909	0	0.007848083935349737	0.46	0.17223008458202918	1.0020971339137439
11000814-TT-R	0	0.0703150067240985	0.05028160906203354	0	0.16029292018297403	0.025634718912637616	0	0.0424147912254936	0.15608377554781958	0.06654597245005102	0.1844540318343081	0.005084486994300538	0.0625417277027559	0	0	0	0.07072964208402249	0	0.09892034745409477	0.006700969825410306	0	0	0.57	0.11976751641610417	1.0253307597548602
11000842-TT-R	0	0.06031493076190089	0.11680525389814438	0.006664653439192492	0.37364856167418375	0	0	0.013305350577792781	0.023545324989860474	0	0.18317465294311136	0.04736781270937874	0	0	0	0	0.039235750842385356	0	0.1143124447996362	0.010299459940992016	0	0.011325803423421568	0.37	0.24440044535118577	0.9768385316602793
11000843-TT-R	0	0.14198885553439525	0.10860007120592564	0.005313446165957754	0.14314594190469881	0	0	0.05823298212161834	0.13120444246328453	0.13183714893591858	0.0562320141889527	0	0.051428472021280563	0	0.015268437730846589	0.004001659588756989	0	0	0.09654124220986016	0.056205285928504135	0	0	0.66	0.06275283373704049	1.0296875653089876
11000846-TT-R	0	0.08021129836534698	0.04485789023144325	0.011181484362524089	0.32402489133523454	0	0	0.05547596062621371	0	0.10727679574215222	0.15482629543561705	0.027114200817429865	0	0	0	0	0	0	0.14121616496184514	0.045644167661224005	0	0.008170850460969176	0.62	0.07746195340360186	1.0344987660846081
11001063-TT-R	0	0.039224043282649036	0.15130673884535734	0	0.47049379555562987	0	0	0	0	0.005658288091473462	0.15177719673677986	0.007089583751331858	0.013641824229646958	0	0	0.011669836361314617	0.040624692939375345	0	0.08641021878796144	0.009844648465489776	0	0.012259132952990403	0.21	0.39084658424130986	0.9146106485219567
