Input Sample	B cells memory	B cells naive	Dendritic cells activated	Dendritic cells resting	Eosinophils	Macrophages M0	Macrophages M1	Macrophages M2	Mast cells activated	Mast cells resting	Monocytes	NK cells activated	NK cells resting	Neutrophils	Plasma cells	T cells CD4 memory activated	T cells CD4 memory resting	T cells CD4 naive	T cells CD8	T cells follicular helper	T cells gamma delta	T cells regulatory (Tregs)	P-value	Pearson Correlation	RMSE
11000842-TT-R	0	0.1105338296879435	0.0016759441809375917	0	0	0.047355480470161956	0.1399722966227332	0.09050730246675648	0.049647315256619834	0	0.03876897776978121	0.04640270720908502	0	0.00905416731960055	0.09524801663308527	0.09106918019270428	0.060059980946723615	0	0.15099315217565473	0.0687116490682128	0	0	0.05	0.2496146203383752	0.9853705482461047
11000843-TT-R	0	0.10679958185057829	0.010718572927541923	0	0	0	0.08082518027875363	0.11496936234861085	0.2828978107595189	0	0.012698159979397822	0.083644483677413	0	0.05759820428912669	0.0555116175552963	0.04947435527550707	0.08191355391665939	0	0.045277271399528134	0.01767184574206792	0	0	0.03	0.2691116384127502	0.9684121444934302
11000846-TT-R	0	0.12580336163171163	0	0.001041140375898672	0	0.17066487764345506	0.10189494480458133	0.14391373218706785	0.14386208712927936	0.016125367494296446	0	0.051919637784010195	0	0.008411062646385851	0.05880220124499003	0.03777996369565967	0	0	0.06220091264143642	0.0543317095116791	0	0.023249001209548384	0.01	0.3344830250256081	0.9449012558007808
11001063-TT-R	0	0.1300910557332411	0.03705610963837768	0	0.024780227196293886	0	0.022987840736041563	0.006170892598128374	0.2616814943565005	0	0.017068817077023346	0.11330500418642606	0	0.010244303857924202	0.11713040670869772	0	0.033109216094740865	0	0.09927928667161193	0.12709534514499268	0	0	0.3	0.07881205402968448	1.0467453575837828
11001807-TT-R	0	0.08399898334575093	0.017382209281266568	0	0	0	0.1703708964774626	0.11870828278511186	0.16162380828132417	0	0	0.0746890689023764	0	0.03228780282471727	0.06964838063176752	0.04191060033913905	0.016431871631709335	0	0.10701160434148407	0.10593649115789028	0	0	0	0.5022323502901632	0.8642208700615193
11001820-TT-R	0	0.10058622586570796	0	0	0	0.15711432727299213	0.030064241654931045	0.11405737770154493	0.269108807297249	0	0.0062585397024695465	0.08967218012142043	0	0.0018113729148324443	0	0	0.13689942652398845	0	0.028092155450249276	0.02372240146751737	0	0.04261294402709744	0.23	0.14182296392743365	1.0370187101544244
11001866-TT-R	0	0.07185005056411987	0.011060389382730086	0	0	0	0.03555750471693103	0.016491620673163745	0.3950894203072444	0	0.031803732660758526	0.06184143152235683	0	0.010053327947359882	0.07164715075652854	0	0.1632801593079218	0	0.06665111969432946	0.06296305310309322	0	0.0017110393634626627	0.02	0.2954978342333613	0.9614775656318219
11001903-TT-R	0.01529894498194914	0	0.006255036156127336	0.0005	0	0	0.115043926141392	0.14076619608807112	0.2922324184620369	0	0.029760996083926187	0.07921375923881264	0	0.016407197152419957	0	0.0952046345047761	0.09501650407050888	0	0.09103075061856365	0.023237352891915898	0	0	0.1	0.20896719647079254	1.0026315771674932
11001997-TT-R	0	0.062395039838024	0.0001	0.006916565135144825	0	0.01598791314577448	0.054396830713635186	0.17982001674229808	0.08335865396568654	0	0	0.1189426319331749	0	0.019185367771544583	0.15927120773744585	0.07297525460462362	0.08914829340080115	0	0.09879851478087869	0.02032609448508892	0.002958878635048003	0.015387347304132616	0.15	0.19729676659604814	0.997820056220339
11002033-TT-R	0	0.049060030111902304	0.009515147295474579	0	0	0	0.06154886424141083	0.12155231067821548	0.35186520546006844	0	0.024038918004495875	0.048416237619639	0	0.02126471812724915	0.022455259836934853	0.04077470759660749	0.15848991247217817	0	0.04336562398820149	0.047653064567622264	0	0	0.01	0.3348829458404034	0.9428929480006649
11002106-TT-R	0	0.08611365204935341	0	0.0010888297844839758	0	0	0.032791422250632855	0	0.6802574473083868	0	0.07242222530365018	0.008331284807226828	0	0.01983219142420296	0	0	0.042962046262110296	0	0.02812595923908899	0.017373862541530675	0	0.010701079029333099	0	0.6686276145603973	0.7581263847816042
11002212-TT-R	0	0.08768463415794271	0	0	0	0.19967992629666773	0.05721414890797587	0.21483783513016821	0.13185669521916965	0	0	0.04031639659518357	0.0013832003694606268	0.03340856848308261	0.05655459610698311	0.03366704997783388	0.10745973661072464	0	0.01686816411089015	0.019069048033917256	0	0	0	0.4463101023529887	0.8936196098607189
11003687-TT-R	0	0.0650161924708326	0.0128943330166929	0	0	0	0.007928109728434758	0	0.6483226587157297	0	0.09612123728357624	0.07811001873558812	0	0	0	0	0	0	0.03822314562433701	0.053384304424808716	0	0	0	0.5653327153510882	0.8258539685238235
11003704-TT-R	0	0.10165883811467206	0.0008	0	0	0	0.060901454484361225	0.3109812597841057	0.15588175622492104	0.0031771470316206115	0.022621995569218064	0.046295855092845103	0	0.0030445612948140103	0	0	0.13428978587306878	0	0.08303020022659109	0.02421593185965371	0	0.0530604051735839	0.34	0.05741504155510975	1.052523900770706
11004126-TT-R	0	0.08689709094902166	0	0	0	0.015637946406023496	0.05817531363421309	0.2780438109883495	0.0202930600672341	0.10055768418073689	0.05239148171873981	0.04219813907402561	0	0.002058268511237981	0.021267041557497833	0.008228442032367717	0.14807667707506153	0	0.11642613759173617	0.01751914002164765	0	0.032229766192106955	0.03	0.27336836567523454	0.9660136124991856
11004229-TT-R	0	0.0866672044552896	0.014992849622967742	0	0	0	0.14385959077474006	0.22697833583233318	0.031445203723400025	0.06087146303261817	0.015213093559390677	0.08098915525706017	0	0.021014876930382616	0.04087337966985053	0.05545859220258062	0.006794815185613611	0	0.1489013009616969	0.06594013879207612	0	0	0.02	0.2928310627032097	0.9640528833953182
11004355-TT-R	0	0.07118713356141025	0.011061397153731771	0	0	0	0.003988329621983247	0.1660273446787041	0.44867010788803446	0	0.059067361749221184	0.014931427460737732	0.0009	0.08125139221220733	0.008343753259585397	0.04020346344654609	0.040904198054215864	0.014767934786995887	0.03866448238786071	0	0	0	0	0.4331269874956992	0.9006011235695199
11004491-TT-R	0	0.04024865225039763	0	0	0	0.455627901871659	0.05031030570785946	0.22165373804446045	0.04974510173530342	0	0	0.017430748212942108	0	0.00947632940265528	0.009794392722446955	0.0013671739418759509	0	0	0.05119362475559395	0.04897194290599135	0.004204316670197413	0.03997577177861701	0	0.6823825600009645	0.7333715809409915
12000021-TT-R	0	0.1758905023239332	0	0	0	0.04864598598604571	0.024702684030369428	0.12244064628403202	0.10595929433085373	0	0.04867274584501733	0.09646530422299404	0	0	0.12668158139554755	0	0.09933870208275343	0	0.08733573614529631	0.04068916575728473	0	0.02317765159587255	0.19	0.16040506274600153	1.010640992105618
12000107-TT-R	0	0.062090531480686745	0.014492583711353965	0.003673919853228568	0.009369143486663293	0	0	0	0.5342750596975353	0	0.13258232243287302	0.011094679133388604	0.013365893577980124	0.023812453215439882	0.05080257447044243	0	0.046914986457466924	0	0.04742070294668027	0.03576329403124026	0	0.014341855505020686	0	0.4626583317168485	0.8865182032032008
12000111-TT-R	0	0.07268151715602313	0.0023089724310232373	0	0	0	0.06079054962978269	0.22577377215062422	0.1282727603450474	0	0.03660523815185575	0.04732903240239022	0	0.018177396522259557	0.017745778254226508	0.034064277212691535	0.19601721405329442	0	0.12645805239384272	0.03377543929693862	0	0	0.16	0.1896027416037466	1.0060024253418514
12000477-TT-R	0	0.02840554800754407	0.008132900989248676	0	0.016695380674540215	0	0.002374856632911422	0	0.659063717634357	0	0.1511551396826262	0.0221634265251081	0	0.029706723912696367	0.0015794771135517764	0	0.06645971274976437	0	0.004698043080757885	0.00956507299689402	0	0	0	0.5869622405249345	0.8141152861081745
12000755-TT-R	0	0.09816785588509684	0.003241082179295505	0	0	0	0.12971525657369673	0.21054905384756234	0.10739149841210104	0	0.03108801898525895	0.0600923942054722	0	0.00834550221078568	0.06777556909069088	0.03343311931279298	0.06663065969847416	0	0.10411188545618022	0.07945810414259255	0	0	0.03	0.27066342540255395	0.9707286480951435
12001290-TT-R	0	0.031474141090794355	0.002072257711462365	0	0	0	0.01716757656109163	0.12921469223854834	0.5277339695091795	0	0.0708060417451369	0.011937183142141957	0	0.0238176225886931	0.010880074928082007	0	0.11385327066676645	0	0.028367001953541096	0.018268062927390336	0	0.014408104937171923	0	0.3986264340447789	0.91795576229782
12001311-TT-R	0	0.07537679890983541	0.010237905941887107	0	0	0	0.08095593718804724	0.10200047723865502	0.4609011454233278	0	0.047689415283823165	0.014217631583930938	0.006153650893893651	0.016643189420781593	0.014506765437691846	0	0.10661054419167282	0	0.026204437978246425	0.022939777012724726	0	0.015562323495482297	0	0.43953485341114756	0.8962790225950042
12001512-TT-R	0	0.06348816962572557	0	0	0	0.36711261542843326	0.048061126105196104	0.11863433595313828	0.040162872169175586	0.05044832215224419	0	0.04789107930233895	0	0	0.03308119462299625	0.001104206445313967	0.13044396223779814	0	0.05331925461927072	0.020866833112594994	0	0.02538602822577393	0	0.371336140033521	0.9414475478299458
12002385-TT-R	0	0.10629070933230714	0	0	0	0.13218072347902154	0.035483034871310964	0.1763597994331228	0.06273406207554959	0.020684397300515755	0	0.07239167047891812	0	0.001989982385891497	0.10510018555161232	0.02892142513553032	0.10515974556834223	0	0.06873730674987574	0.03834576022659328	0	0.045621197411408625	0.31	0.07233450910814312	1.0484376460948954
12002841-TT-R	0	0.11229584077466803	0.012141697014526824	0	0	0	0.03418415864489035	0.07932704343530629	0.10150334371195376	0.051098780695146416	0.09797407884637697	0.07590675110255377	0	0.0745042238808925	0.03495965455446575	0.07193327537714814	0.1105418645340629	0	0.06547237337036255	0.05465226350091687	0	0.023504650556728936	0.45	0.03649747674134724	1.054635289424267
12003310-TT-R	0	0.03795597681036773	0.0009	0	0	0.035196320160843377	0.025653726205353108	0.14251888422746997	0.3334121228556188	0	0.12466955737002855	0.031823708863984446	0	0.026123482048957685	0.023429510212447897	0	0.15383031873431877	0	0.03631820412994349	0.007662107650685948	0	0.020535863338411252	0.02	0.32377507083366874	0.9473156806316682
13002183-TT-R	0	0.07789464163504918	0	0	0	0.09233769720815249	0.051544122338605274	0.10033906039466496	0.11122625710498257	0.024053712746178554	0	0.05232497029704846	0	0.0540750756322517	0.24399824177252755	0.08027305987967225	0.0394942418057212	0	0.0611128360214017	0.011326083163744076	0	0	0.24	0.11162641884545511	1.0214481287390464
13002327-TT-R	0	0.032487416733268576	0.0049368030764769325	0	0	0	0.029401818741926638	0.09269344561236054	0.5689355136323478	0	0.037470643469554386	0.022812029887656776	0	0.053551908721623326	0.05205913930980713	0	0.05599768276969561	0	0.020279124128376964	0.027767302116070584	0	0.001607171800834717	0	0.6132922444457093	0.8025631421678583
13002461-TT-R	0	0.054946800928527266	0.009982898618796638	0	0	0	0.003302856716417571	0.0967148618081853	0.3852138277459753	0	0.033416623690434764	0.012062036913116749	0	0	0.03537027560566451	0	0.1758298365412107	0	0.10884763390445619	0.04875152987720213	0	0.03556081765001287	0.03	0.2812259256984875	0.9701763936906501
13002506-TT-R	0	0.1616540950822763	0.0001	0	0	0	0.004073602640920902	0.34026809171892186	0.14479321707918608	0.09706959407424512	0.055452916118135055	0.045056938317908406	0	0.008662932639660444	0	0	0.12476854944794785	0	0	0.01133858600113344	0	0.006754817028697752	0.24	0.11355296183156847	1.0223473125979323
13003423-TT-R	0	0.038936967660634654	0.0042024810340792335	0	0	0	0.02623301842774576	0.26480835725232776	0.3423282792780775	0	0.03149005516096095	0.058011944587239045	0	0.039795847656663455	0.014096438701800718	0	0.1308254152663384	0	0.022894029199599323	0.014335740424206994	0	0.012041425350326243	0.17	0.1850411635938411	1.0054340292040687
13003457-TT-R	0	0.10767740664388126	0.0012423307552919963	0	0	0.030626165304214255	0.10508047443612493	0.1930248394778873	0.20735102575180817	0	0	0.08209003805512681	0	0.028576759198568568	0.03880937734517942	0	0.07674930760504907	0	0.058901744247641705	0.029884369431409652	0	0.03998616174781684	0	0.38645512985612035	0.9202190693634938
13003473-TT-R	0	0.06376015462708018	0.016454752772670053	0.002182554714630333	0	0	0.03904774724314189	0.27038737396839124	0.07983306126802427	0.11875390544292631	0.07513514639235919	0.05232937532612641	0	0.011977234468976599	0.0007	0.07502818647085216	0.07464971898454406	0	0.11050251597860443	0.009277789760880796	0	0	0.34	0.058050159977692466	1.0360936104607326
13003494-TT-R	0	0.047116717907629196	0.0144470080412251	0.003608762260010433	0	0	0.03928943764502731	0.2089981468390528	0.15121032069727589	0	0.06526322285066342	0.09728808101615566	0	0.005641083785763645	0.054482291024140574	0	0.16246205216947326	0	0.0906972924611198	0.05045415305858449	0	0.009041430243878372	0.04	0.2542403181100816	0.9755841245826007
13003536-TT-R	0	0.11088409389965874	0.003705781829010783	0.010836835965769393	0	0	0.03132372062812074	0.18329163620755812	0.07176818571830199	0	0.024744487770948117	0.07408834088075028	0	0.01486201761516835	0.20630320143673464	0	0.11636672237821914	0	0.07524291401613614	0.044513935086939904	0	0.03206812656668367	0.03	0.2688098510317188	0.9659143133847042
13003561-TT-R	0	0.10504797258368077	0.009882710880602125	0	0	0.008150509829005722	0.027895406406808834	0.23369285702880843	0.19478452653526623	0	0	0.04888573837739586	0	0.021962866457855435	0.07605757490141447	0	0.14963390933501322	0	0.05551592086007979	0.02332696995393238	0	0.045163036850136694	0.19	0.16166738955347856	1.007681473986091
13003601-TT-R	0	0.06855011937706963	0.0005	0.0012190666451247659	0	0.08858094443603243	0.04392016032538927	0.19902804538113275	0.2828116566047786	0	0.008728398726704287	0.06361173430874925	0	0.015499481977279747	0.05198308065117611	0.0224528466777821	0.053543880085090076	0	0.04969997157477556	0.026389647289044527	0	0.02350834010921279	0	0.4493744534934729	0.8927279077840231
