Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
11000498-TT-R	0.04507774655052237	0	0.03696925576398696	0.020325685834946223	0	0.15458850234084692	0	0.03668426962495314	0.013317127435763682	0	0	0.014096064120279276	0	0.16110947505878023	0.07253365668134196	0.30879839191492614	0.03385727418907208	0	0	0.07352007459944798	0.006022153640403963	0.023100322244729087	0.07	0.12727729927484116	1.0390164150115628
11000511-TT-R	0.11068305318638179	0	0.23037682637343504	0.19727143968132652	0	0.034153868548257846	0.04111059623944903	0.0981895512016836	0.003962858960034874	0.003775550257149709	0	0	0	0	0.037876073704630926	0.12023306891717121	0.05301670844407119	0	0	0.06249232154004355	0.004571967155630952	0.0022861157907337623	0	0.4345313446806687	0.903093343253966
11000515-TT-R	0.015482973746618384	0	0.030556763554534492	0.04885920828771136	0	0.09397530717371898	0	0.019328153248836855	0.024931905115391433	0	0	0.024447600519698017	0	0.2116060731175144	0.02328290697227093	0.25313426619939505	0.02960044181419903	0	0	0.17843279144134808	0	0.04636160880876303	0.06	0.15679079248453284	1.0379685279442066
11000552-TT-R	0	0.018176039276797815	0.04268313619010374	0.16298953900321256	0	0.12814950127390987	0.06133256024663508	0.08265916613623463	0.017316249527920338	0	0	0.05774084139392465	0.004529821305637345	0.008205136728984534	0.08595101342388703	0.25467449184800633	0.030998902749284605	0.01599054972785438	0	0.01715694422080908	0.011446106946798007	0	0.06	0.1626774283130163	1.0222878449147754
11000557-TT-R	0.030602697770007955	0	0.03501383077758042	0.15079194971895302	0	0.12404140815276803	0.007164126098710478	0.09661520252779196	0.01682287070180814	0	0	0.09083343022158577	0	0.031228390504665776	0.04272291487506203	0.24009811829592123	0.0708607385201358	0	0.04581233428725817	0	0.016833635790246784	0.0006	0.07	0.12929518271550317	1.0332232901297396
11000562-TT-R	0.10470821484206885	0	0.009243120463029487	0.08099545625635267	0	0.24945806026788625	0.01322825393854953	0.015954947241521168	0	0	0.011701519186156854	0	0	0.07434481140149261	0.06110640850158363	0.17978068024432772	0.022856519747782474	0	0.023868439927613474	0.02478885361659419	0.06054326787349167	0.0674214464915494	0.03	0.19179182418962476	1.0029046453641701
11000573-TT-R	0	0.029049744976527247	0.09414155762441558	0.03357244311287356	0	0.1943876145054083	0	0.014111883053385472	0.004316995956391099	0	0.02548866990531964	0	0	0.18913413036208468	0.03359633399649646	0.24083887885981425	0.010544093996043061	0.01586436990357896	0.054888710333074096	0.04089960440679277	0	0.019164969007794807	0.03	0.195608390714936	1.0055221477485317
11000593-TT-R	0.019485238655568934	0.0005	0.012668787379300687	0.08162811168690896	0	0.1938563448590753	0.0142716342951503	0	0	0	0.020991253489202916	0	0.005786032415744349	0	0.08786109269810466	0.2461486401139085	0.028843813650863873	0.005024608064801513	0	0.19615920914580198	0.03990722828032722	0.04684631395477294	0.12	0.07221674059499336	1.0616203213386275
11000674-TT-R	0.00170406245033823	0.010796004878236076	0.04638376947430025	0.07645226480945562	0	0.17946390901657633	0.030527789915663548	0.025266539152079867	0	0	0.015312922653912419	0	0	0.12311496432273188	0.0553984235868639	0.14607163698391137	0	0	0	0.2007626892981942	0	0.08874502345773633	0.1	0.07645269090991898	1.0623606086489676
11000679-TT-R	0.023686795724167813	0	0.03802570465971329	0.07656785848104596	0	0.2736513827053961	0.01999884447562743	0.05185045285223996	0.0003	0	0.02222479932199937	0.031815296161526486	0.006895705816000745	0.07295038792069442	0.09701680705522511	0.1474591508226252	0.030125338777350286	0	0	0.10051264359534283	0	0.006886087386685271	0.1	0.08425218938169209	1.0553121779637047
11000681-TT-R	0	0.026449872488950282	0.11426319640506268	0.09710758811213886	0	0.07200135639470756	0	0.04049173859186732	0.008846560080307656	0	0.018919478354310956	0.05028017661413293	0.0062838168642479885	0.1706819277707143	0.18529459462389064	0.1534749620448112	0	0	0	0.04102793458458354	0	0.014876797070274039	0.03	0.22797705975509752	1.0058245998689916
11000684-TT-R	0.03320327017257566	0	0.031038031439465038	0.052902194551315895	0	0.08582699629370544	0	0.026057847229400775	0.02326374580381216	0	0	0.029245589037531678	0	0.3154498286421045	0.09196252285677578	0.19574845016481998	0	0	0	0.026304584544164705	0	0.08899693926432835	0.06	0.1418378090374725	1.0493706427981224
